"lang","census","pub","branch","log_census","log_pub"
"Avar","384945","442","Avar-Andic","5.585398683007659","2.645422269349092"
"Aghul","10753","123","Lezgic","4.031529645803423","2.089905111439398"
"Andi","28498","109","Avar-Andic","4.454814382133351","2.037426497940624"
"Archi","1116","77","Lezgic","3.04766419460156","1.8864907251724818"
"Akhvakh","5023","72","Avar-Andic","3.700963178159549","1.8573324964312685"
"Bagvalal","4564","57","Avar-Andic","3.659345635746177","1.7558748556724915"
"Bezhta","4549","86","Tsezic","3.657915936829955","1.9344984512435677"
"Botlikh","12618","50","Avar-Andic","4.100990523069965","1.6989700043360187"
"Budukh","200","40","Lezgic","2.3010299956639813","1.6020599913279623"
"Hinuq","543","62","Tsezic","2.734799829588847","1.792391689498254"
"Godoberi","3211","55","Avar-Andic","3.5066403055665023","1.7403626894942439"
"Hunzib","934","39","Tsezic","2.9703468762300935","1.591064607026499"
"Dargwa","265635","307","Dargwic","5.424285296996539","2.4871383754771865"
"Karata","12300","56","Avar-Andic","4.089905111439398","1.7481880270062005"
"Kryz","4400","43","Lezgic","3.6434526764861874","1.6334684555795864"
"Lak","140000","147","Lak","5.146128035678238","2.167317334748176"
"Lezgian","204433","253","Lezgic","5.310551001839939","2.403120521175818"
"Rutul","11631","96","Lezgic","4.0656170557268725","1.9822712330395684"
"Tabasaran","59395","158","Lezgic","4.773749886667951","2.1986570869544226"
"Tindi","8986","37","Avar-Andic","3.9535664142570064","1.568201724066995"
"Udi","4900","115","Lezgic","3.690196080028514","2.060697840353612"
"Khwarshi","1890","59","Tsezic","3.2764618041732443","1.7708520116421442"
"Khinalug","2200","31","Khinalug","3.342422680822206","1.4913616938342726"
"Tsakhur","5457","85","Lezgic","3.736953953783146","1.9294189257142926"
"Tsez","10930","88","Tsezic","4.038620161949702","1.9444826721501687"
"Chamalal","6614","51","Avar-Andic","3.820464190577684","1.7075701760979363"
"Chechen","1300000","251","Nakh","6.113943352306837","2.399673721481038"
"Ingush","293000","138","Nakh","5.466867620354109","2.1398790864012365"
"Tsova-Tush","500","53","Nakh","2.6989700043360187","1.724275869600789"
